event_id,date,event_time,source,event_type,agent,counterparty,channel,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail,payload
7075,2023-02-13,2023-02-13 11:27:55,portfolio,trade,TruthfulReporterAgent,,,GAMMA,SELL,26,43.4725,1130.2849999999999,8640.363863400036,88340.31916340004,-11659.68083659996,-0.11659680836599962,"SELL 26 GAMMA @ 43.47，成交额 1,130.28，手续费 1.13","{""date"": ""2023-02-13"", ""agent"": ""TruthfulReporterAgent"", ""ticker"": ""GAMMA"", ""side"": ""SELL"", ""shares"": 26, ""price"": 43.4725, ""fee"": 1.130285, ""note"": ""TruthfulReporterAgent: own strategy blended with communicated beliefs."", ""notional"": 1130.2849999999999, ""cash_after"": 8640.363863400036, ""equity_after"": 88340.31916340004}"
7076,2023-02-13,2023-02-13 11:27:56,portfolio,trade,TruthfulReporterAgent,,,OMEGA,BUY,79,49.2004,3886.8316,4749.645431800036,88336.43233180002,-11663.567668199976,-0.11663567668199981,"BUY 79 OMEGA @ 49.20，成交额 3,886.83，手续费 3.89","{""date"": ""2023-02-13"", ""agent"": ""TruthfulReporterAgent"", ""ticker"": ""OMEGA"", ""side"": ""BUY"", ""shares"": 79, ""price"": 49.2004, ""fee"": 3.8868316000000003, ""note"": ""TruthfulReporterAgent: own strategy blended with communicated beliefs."", ""notional"": 3886.8316, ""cash_after"": 4749.645431800036, ""equity_after"": 88336.43233180002}"
7077,2023-02-13,2023-02-13 11:27:57,portfolio,decision,PersuaderAgent,,,,,0,0.0,0.0,15594.885557400035,41080.28635740004,-58919.71364259996,-0.5891971364259996,"目标仓位：ALPHA 35.0%, DELTA 27.2%, OMEGA 15.3%。PersuaderAgent: own strategy blended with communicated beliefs.","{""target_weights"": {""ALPHA"": 0.35, ""BETA"": 0.0, ""DELTA"": 0.27205664215815784, ""GAMMA"": 0.061289339233393594, ""OMEGA"": 0.1534093272837911, ""SIGMA"": 0.0}, ""note"": ""PersuaderAgent: own strategy blended with communicated beliefs.""}"
7078,2023-02-13,2023-02-13 11:27:58,portfolio,trade,PersuaderAgent,,,ALPHA,BUY,18,45.8689,825.6401999999999,14768.419717200035,41079.46071720003,-58920.53928279997,-0.5892053928279997,BUY 18 ALPHA @ 45.87，成交额 825.64，手续费 0.83,"{""date"": ""2023-02-13"", ""agent"": ""PersuaderAgent"", ""ticker"": ""ALPHA"", ""side"": ""BUY"", ""shares"": 18, ""price"": 45.8689, ""fee"": 0.8256401999999999, ""note"": ""PersuaderAgent: own strategy blended with communicated beliefs."", ""notional"": 825.6401999999999, ""cash_after"": 14768.419717200035, ""equity_after"": 41079.46071720003}"
7079,2023-02-13,2023-02-13 11:27:59,portfolio,trade,PersuaderAgent,,,DELTA,BUY,101,110.5274,11163.2674,3593.989049800035,41068.297449800026,-58931.702550199974,-0.5893170255019997,"BUY 101 DELTA @ 110.53，成交额 11,163.27，手续费 11.16","{""date"": ""2023-02-13"", ""agent"": ""PersuaderAgent"", ""ticker"": ""DELTA"", ""side"": ""BUY"", ""shares"": 101, ""price"": 110.5274, ""fee"": 11.1632674, ""note"": ""PersuaderAgent: own strategy blended with communicated beliefs."", ""notional"": 11163.2674, ""cash_after"": 3593.989049800035, ""equity_after"": 41068.297449800026}"
7080,2023-02-13,2023-02-13 11:28:00,portfolio,trade,PersuaderAgent,,,GAMMA,SELL,11,43.4725,478.1975,4071.708352300035,41067.81925230003,-58932.18074769997,-0.5893218074769997,SELL 11 GAMMA @ 43.47，成交额 478.20，手续费 0.48,"{""date"": ""2023-02-13"", ""agent"": ""PersuaderAgent"", ""ticker"": ""GAMMA"", ""side"": ""SELL"", ""shares"": 11, ""price"": 43.4725, ""fee"": 0.4781975, ""note"": ""PersuaderAgent: own strategy blended with communicated beliefs."", ""notional"": 478.1975, ""cash_after"": 4071.708352300035, ""equity_after"": 41067.81925230003}"
7081,2023-02-13,2023-02-13 11:28:01,portfolio,trade,PersuaderAgent,,,OMEGA,SELL,53,49.2004,2607.6212,6676.721931100035,41065.211631100035,-58934.788368899965,-0.5893478836889996,"SELL 53 OMEGA @ 49.20，成交额 2,607.62，手续费 2.61","{""date"": ""2023-02-13"", ""agent"": ""PersuaderAgent"", ""ticker"": ""OMEGA"", ""side"": ""SELL"", ""shares"": 53, ""price"": 49.2004, ""fee"": 2.6076212, ""note"": ""PersuaderAgent: own strategy blended with communicated beliefs."", ""notional"": 2607.6212, ""cash_after"": 6676.721931100035, ""equity_after"": 41065.211631100035}"
7082,2023-02-13,2023-02-13 11:28:02,portfolio,decision,FreeRiderAgent,,,,,0,0.0,0.0,8562.097852900044,77986.71835290005,-22013.281647099953,-0.22013281647099958,"目标仓位：GAMMA 35.0%, OMEGA 35.0%, ALPHA 8.2%。FreeRiderAgent: own strategy blended with communicated beliefs.","{""target_weights"": {""ALPHA"": 0.08226032379479767, ""BETA"": 0.039467394763383956, ""DELTA"": 0.0, ""GAMMA"": 0.35, ""OMEGA"": 0.34969184559060745, ""SIGMA"": 0.0}, ""note"": ""FreeRiderAgent: own strategy blended with communicated beliefs.""}"
7083,2023-02-13,2023-02-13 11:28:03,portfolio,trade,FreeRiderAgent,,,ALPHA,SELL,56,45.8689,2568.6584,11128.187594500045,77984.14969450005,-22015.850305499946,-0.2201585030549995,"SELL 56 ALPHA @ 45.87，成交额 2,568.66，手续费 2.57","{""date"": ""2023-02-13"", ""agent"": ""FreeRiderAgent"", ""ticker"": ""ALPHA"", ""side"": ""SELL"", ""shares"": 56, ""price"": 45.8689, ""fee"": 2.5686584, ""note"": ""FreeRiderAgent: own strategy blended with communicated beliefs."", ""notional"": 2568.6584, ""cash_after"": 11128.187594500045, ""equity_after"": 77984.14969450005}"
7084,2023-02-13,2023-02-13 11:28:04,portfolio,trade,FreeRiderAgent,,,BETA,BUY,58,52.4088,3039.7104,8085.4374841000445,77981.10998410004,-22018.89001589996,-0.2201889001589996,"BUY 58 BETA @ 52.41，成交额 3,039.71，手续费 3.04","{""date"": ""2023-02-13"", ""agent"": ""FreeRiderAgent"", ""ticker"": ""BETA"", ""side"": ""BUY"", ""shares"": 58, ""price"": 52.4088, ""fee"": 3.0397104, ""note"": ""FreeRiderAgent: own strategy blended with communicated beliefs."", ""notional"": 3039.7104, ""cash_after"": 8085.4374841000445, ""equity_after"": 77981.10998410004}"
