date,agent,equity,cash,pnl,pnl_pct,positions_json,position_summary,last_action,friend_count,friends
2023-01-17,MomentumAgent,83748.8636255,16246.507525500005,-16251.136374499998,-0.16251136374499997,"{""ALPHA"": 523, ""BETA"": 60, ""DELTA"": 0, ""GAMMA"": 804, ""OMEGA"": 30, ""SIGMA"": 45}","GAMMA:804, ALPHA:523, BETA:60, SIGMA:45","BUY 45 SIGMA @ 97.25，成交额 4,376.18，手续费 4.38",4,"CommitteeTeamAgent, DynamicTeamAgent, SocialGraphAgent, TruthfulReporterAgent"
2023-01-17,MeanReversionAgent,37912.803172500004,2888.5650725000123,-62087.196827499996,-0.6208719682749999,"{""ALPHA"": 43, ""BETA"": 116, ""DELTA"": 79, ""GAMMA"": 89, ""OMEGA"": 51, ""SIGMA"": 134}","SIGMA:134, BETA:116, GAMMA:89, DELTA:79",BUY 10 SIGMA @ 97.25，成交额 972.49，手续费 0.97,4,"ContrarianAgent, DynamicTeamAgent, PersuaderAgent, SocialGraphAgent"
2023-01-17,LowVolatilityAgent,74600.0342901,13601.503490099996,-25399.965709900003,-0.2539996570990001,"{""ALPHA"": 466, ""BETA"": 53, ""DELTA"": 0, ""GAMMA"": 714, ""OMEGA"": 39, ""SIGMA"": 45}","GAMMA:714, ALPHA:466, BETA:53, SIGMA:45","BUY 45 SIGMA @ 97.25，成交额 4,376.18，手续费 4.38",6,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, SocialGraphAgent"
2023-01-17,DrawdownBuyerAgent,49661.81005780001,2533.061457800003,-50338.18994219999,-0.5033818994219998,"{""ALPHA"": 15, ""BETA"": 69, ""DELTA"": 22, ""GAMMA"": 353, ""OMEGA"": 365, ""SIGMA"": 132}","OMEGA:365, GAMMA:353, SIGMA:132, BETA:69","BUY 46 SIGMA @ 97.25，成交额 4,473.43，手续费 4.47",4,"CommitteeTeamAgent, ContrarianAgent, LowVolatilityAgent, SocialGraphAgent"
2023-01-17,RandomAgent,58418.145624500015,2512.3366245000134,-41581.854375499985,-0.4158185437549998,"{""ALPHA"": 141, ""BETA"": 128, ""DELTA"": 108, ""GAMMA"": 363, ""OMEGA"": 133, ""SIGMA"": 117}","GAMMA:363, ALPHA:141, OMEGA:133, BETA:128","BUY 82 SIGMA @ 97.25，成交额 7,974.38，手续费 7.97",2,"CommitteeTeamAgent, DynamicTeamAgent"
2023-01-17,CommitteeTeamAgent,59093.88705289999,3429.1652528999994,-40906.11294710001,-0.40906112947100004,"{""ALPHA"": 247, ""BETA"": 63, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 120}","GAMMA:491, ALPHA:247, SIGMA:120, OMEGA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-17,DynamicTeamAgent,58859.464727200015,3287.4947272000163,-41140.535272799985,-0.41140535272799983,"{""ALPHA"": 248, ""BETA"": 62, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 119}","GAMMA:491, ALPHA:248, OMEGA:119, SIGMA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"CommitteeTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-17,TruthfulReporterAgent,84194.68644130003,17449.10524130003,-15805.31355869997,-0.15805313558699974,"{""ALPHA"": 526, ""BETA"": 55, ""DELTA"": 0, ""GAMMA"": 808, ""OMEGA"": 24, ""SIGMA"": 39}","GAMMA:808, ALPHA:526, BETA:55, SIGMA:39","BUY 39 SIGMA @ 97.25，成交额 3,792.69，手续费 3.79",1,MomentumAgent
2023-01-17,PersuaderAgent,37898.37296290003,2873.552262900028,-62101.62703709997,-0.6210162703709997,"{""ALPHA"": 63, ""BETA"": 115, ""DELTA"": 78, ""GAMMA"": 66, ""OMEGA"": 49, ""SIGMA"": 134}","SIGMA:134, BETA:115, DELTA:78, GAMMA:66",BUY 10 SIGMA @ 97.25，成交额 972.49，手续费 0.97,2,"ContrarianAgent, MeanReversionAgent"
2023-01-17,FreeRiderAgent,75056.6253128,14442.251712800004,-24943.374687200005,-0.24943374687200004,"{""ALPHA"": 469, ""BETA"": 48, ""DELTA"": 0, ""GAMMA"": 718, ""OMEGA"": 40, ""SIGMA"": 40}","GAMMA:718, ALPHA:469, BETA:48, OMEGA:40","BUY 40 SIGMA @ 97.25，成交额 3,889.94，手续费 3.89",1,LowVolatilityAgent
2023-01-17,ContrarianAgent,57131.3750115,5352.939311500001,-42868.6249885,-0.42868624988500004,"{""ALPHA"": 23, ""BETA"": 69, ""DELTA"": 34, ""GAMMA"": 300, ""OMEGA"": 496, ""SIGMA"": 130}","OMEGA:496, GAMMA:300, SIGMA:130, BETA:69","SELL 17 SIGMA @ 97.25，成交额 1,653.22，手续费 1.65",4,"DrawdownBuyerAgent, LowVolatilityAgent, MeanReversionAgent, PersuaderAgent"
2023-01-17,SocialGraphAgent,56537.211708200004,3129.1239082000056,-43462.788291799996,-0.4346278829179999,"{""ALPHA"": 253, ""BETA"": 66, ""DELTA"": 42, ""GAMMA"": 461, ""OMEGA"": 105, ""SIGMA"": 105}","GAMMA:461, ALPHA:253, OMEGA:105, SIGMA:105","BUY 28 SIGMA @ 97.25，成交额 2,722.96，手续费 2.72",6,"CommitteeTeamAgent, DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent"
2023-01-18,MomentumAgent,82973.3034255,16246.507525500005,-17026.696574500005,-0.170266965745,"{""ALPHA"": 523, ""BETA"": 60, ""DELTA"": 0, ""GAMMA"": 804, ""OMEGA"": 30, ""SIGMA"": 45}","GAMMA:804, ALPHA:523, BETA:60, SIGMA:45","BUY 45 SIGMA @ 97.25，成交额 4,376.18，手续费 4.38",4,"CommitteeTeamAgent, DynamicTeamAgent, SocialGraphAgent, TruthfulReporterAgent"
2023-01-18,MeanReversionAgent,38099.13897250002,2888.5650725000123,-61900.86102749998,-0.6190086102749999,"{""ALPHA"": 43, ""BETA"": 116, ""DELTA"": 79, ""GAMMA"": 89, ""OMEGA"": 51, ""SIGMA"": 134}","SIGMA:134, BETA:116, GAMMA:89, DELTA:79",BUY 10 SIGMA @ 97.25，成交额 972.49，手续费 0.97,4,"ContrarianAgent, DynamicTeamAgent, PersuaderAgent, SocialGraphAgent"
2023-01-18,LowVolatilityAgent,73917.3519901,13601.503490099996,-26082.648009900004,-0.260826480099,"{""ALPHA"": 466, ""BETA"": 53, ""DELTA"": 0, ""GAMMA"": 714, ""OMEGA"": 39, ""SIGMA"": 45}","GAMMA:714, ALPHA:466, BETA:53, SIGMA:45","BUY 45 SIGMA @ 97.25，成交额 4,376.18，手续费 4.38",6,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, SocialGraphAgent"
2023-01-18,DrawdownBuyerAgent,49658.8146578,2533.061457800003,-50341.1853422,-0.503411853422,"{""ALPHA"": 15, ""BETA"": 69, ""DELTA"": 22, ""GAMMA"": 353, ""OMEGA"": 365, ""SIGMA"": 132}","OMEGA:365, GAMMA:353, SIGMA:132, BETA:69","BUY 46 SIGMA @ 97.25，成交额 4,473.43，手续费 4.47",4,"CommitteeTeamAgent, ContrarianAgent, LowVolatilityAgent, SocialGraphAgent"
2023-01-18,RandomAgent,58456.62022450002,2512.3366245000134,-41543.37977549998,-0.4154337977549998,"{""ALPHA"": 141, ""BETA"": 128, ""DELTA"": 108, ""GAMMA"": 363, ""OMEGA"": 133, ""SIGMA"": 117}","GAMMA:363, ALPHA:141, OMEGA:133, BETA:128","BUY 82 SIGMA @ 97.25，成交额 7,974.38，手续费 7.97",2,"CommitteeTeamAgent, DynamicTeamAgent"
2023-01-18,CommitteeTeamAgent,58865.0854529,3429.1652528999994,-41134.9145471,-0.411349145471,"{""ALPHA"": 247, ""BETA"": 63, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 120}","GAMMA:491, ALPHA:247, SIGMA:120, OMEGA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-18,DynamicTeamAgent,58629.760227200015,3287.4947272000163,-41370.239772799985,-0.4137023977279999,"{""ALPHA"": 248, ""BETA"": 62, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 119}","GAMMA:491, ALPHA:248, OMEGA:119, SIGMA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"CommitteeTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-18,TruthfulReporterAgent,83412.35264130004,17449.10524130003,-16587.647358699964,-0.16587647358699964,"{""ALPHA"": 526, ""BETA"": 55, ""DELTA"": 0, ""GAMMA"": 808, ""OMEGA"": 24, ""SIGMA"": 39}","GAMMA:808, ALPHA:526, BETA:55, SIGMA:39","BUY 39 SIGMA @ 97.25，成交额 3,792.69，手续费 3.79",1,MomentumAgent
2023-01-18,PersuaderAgent,38079.50266290003,2873.552262900028,-61920.49733709997,-0.6192049733709997,"{""ALPHA"": 63, ""BETA"": 115, ""DELTA"": 78, ""GAMMA"": 66, ""OMEGA"": 49, ""SIGMA"": 134}","SIGMA:134, BETA:115, DELTA:78, GAMMA:66",BUY 10 SIGMA @ 97.25，成交额 972.49，手续费 0.97,2,"ContrarianAgent, MeanReversionAgent"
2023-01-18,FreeRiderAgent,74369.0218128,14442.251712800004,-25630.978187200002,-0.25630978187200004,"{""ALPHA"": 469, ""BETA"": 48, ""DELTA"": 0, ""GAMMA"": 718, ""OMEGA"": 40, ""SIGMA"": 40}","GAMMA:718, ALPHA:469, BETA:48, OMEGA:40","BUY 40 SIGMA @ 97.25，成交额 3,889.94，手续费 3.89",1,LowVolatilityAgent
2023-01-18,ContrarianAgent,57192.8008115,5352.939311500001,-42807.1991885,-0.428071991885,"{""ALPHA"": 23, ""BETA"": 69, ""DELTA"": 34, ""GAMMA"": 300, ""OMEGA"": 496, ""SIGMA"": 130}","OMEGA:496, GAMMA:300, SIGMA:130, BETA:69","SELL 17 SIGMA @ 97.25，成交额 1,653.22，手续费 1.65",4,"DrawdownBuyerAgent, LowVolatilityAgent, MeanReversionAgent, PersuaderAgent"
2023-01-18,SocialGraphAgent,56308.65970820001,3129.1239082000056,-43691.34029179999,-0.43691340291799996,"{""ALPHA"": 253, ""BETA"": 66, ""DELTA"": 42, ""GAMMA"": 461, ""OMEGA"": 105, ""SIGMA"": 105}","GAMMA:461, ALPHA:253, OMEGA:105, SIGMA:105","BUY 28 SIGMA @ 97.25，成交额 2,722.96，手续费 2.72",6,"CommitteeTeamAgent, DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent"
2023-01-19,MomentumAgent,84252.4078255,16246.507525500005,-15747.592174499994,-0.1574759217449999,"{""ALPHA"": 523, ""BETA"": 60, ""DELTA"": 0, ""GAMMA"": 804, ""OMEGA"": 30, ""SIGMA"": 45}","GAMMA:804, ALPHA:523, BETA:60, SIGMA:45","BUY 45 SIGMA @ 97.25，成交额 4,376.18，手续费 4.38",4,"CommitteeTeamAgent, DynamicTeamAgent, SocialGraphAgent, TruthfulReporterAgent"
2023-01-19,MeanReversionAgent,39623.42247250001,2888.5650725000123,-60376.57752749999,-0.6037657752749999,"{""ALPHA"": 43, ""BETA"": 116, ""DELTA"": 79, ""GAMMA"": 89, ""OMEGA"": 51, ""SIGMA"": 134}","SIGMA:134, BETA:116, GAMMA:89, DELTA:79",BUY 10 SIGMA @ 97.25，成交额 972.49，手续费 0.97,4,"ContrarianAgent, DynamicTeamAgent, PersuaderAgent, SocialGraphAgent"
2023-01-19,LowVolatilityAgent,75092.35969010001,13601.503490099996,-24907.640309899987,-0.24907640309899992,"{""ALPHA"": 466, ""BETA"": 53, ""DELTA"": 0, ""GAMMA"": 714, ""OMEGA"": 39, ""SIGMA"": 45}","GAMMA:714, ALPHA:466, BETA:53, SIGMA:45","BUY 45 SIGMA @ 97.25，成交额 4,376.18，手续费 4.38",6,"CommitteeTeamAgent, ContrarianAgent, DrawdownBuyerAgent, DynamicTeamAgent, FreeRiderAgent, SocialGraphAgent"
2023-01-19,DrawdownBuyerAgent,51185.6657578,2533.061457800003,-48814.3342422,-0.48814334242199997,"{""ALPHA"": 15, ""BETA"": 69, ""DELTA"": 22, ""GAMMA"": 353, ""OMEGA"": 365, ""SIGMA"": 132}","OMEGA:365, GAMMA:353, SIGMA:132, BETA:69","BUY 46 SIGMA @ 97.25，成交额 4,473.43，手续费 4.47",4,"CommitteeTeamAgent, ContrarianAgent, LowVolatilityAgent, SocialGraphAgent"
2023-01-19,RandomAgent,60388.17202450002,2512.3366245000134,-39611.82797549998,-0.3961182797549998,"{""ALPHA"": 141, ""BETA"": 128, ""DELTA"": 108, ""GAMMA"": 363, ""OMEGA"": 133, ""SIGMA"": 117}","GAMMA:363, ALPHA:141, OMEGA:133, BETA:128","BUY 82 SIGMA @ 97.25，成交额 7,974.38，手续费 7.97",2,"CommitteeTeamAgent, DynamicTeamAgent"
2023-01-19,CommitteeTeamAgent,60464.6987529,3429.1652528999994,-39535.3012471,-0.39535301247099996,"{""ALPHA"": 247, ""BETA"": 63, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 120}","GAMMA:491, ALPHA:247, SIGMA:120, OMEGA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"DrawdownBuyerAgent, DynamicTeamAgent, LowVolatilityAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-19,DynamicTeamAgent,60222.81382720001,3287.4947272000163,-39777.18617279999,-0.39777186172799994,"{""ALPHA"": 248, ""BETA"": 62, ""DELTA"": 38, ""GAMMA"": 491, ""OMEGA"": 119, ""SIGMA"": 119}","GAMMA:491, ALPHA:248, OMEGA:119, SIGMA:119","BUY 44 SIGMA @ 97.25，成交额 4,278.93，手续费 4.28",6,"CommitteeTeamAgent, LowVolatilityAgent, MeanReversionAgent, MomentumAgent, RandomAgent, SocialGraphAgent"
2023-01-19,TruthfulReporterAgent,84649.76234130003,17449.10524130003,-15350.237658699974,-0.15350237658699972,"{""ALPHA"": 526, ""BETA"": 55, ""DELTA"": 0, ""GAMMA"": 808, ""OMEGA"": 24, ""SIGMA"": 39}","GAMMA:808, ALPHA:526, BETA:55, SIGMA:39","BUY 39 SIGMA @ 97.25，成交额 3,792.69，手续费 3.79",1,MomentumAgent
2023-01-19,PersuaderAgent,39591.99916290002,2873.552262900028,-60408.00083709998,-0.6040800083709998,"{""ALPHA"": 63, ""BETA"": 115, ""DELTA"": 78, ""GAMMA"": 66, ""OMEGA"": 49, ""SIGMA"": 134}","SIGMA:134, BETA:115, DELTA:78, GAMMA:66",BUY 10 SIGMA @ 97.25，成交额 972.49，手续费 0.97,2,"ContrarianAgent, MeanReversionAgent"
2023-01-19,FreeRiderAgent,75513.50321279999,14442.251712800004,-24486.496787200012,-0.24486496787200007,"{""ALPHA"": 469, ""BETA"": 48, ""DELTA"": 0, ""GAMMA"": 718, ""OMEGA"": 40, ""SIGMA"": 40}","GAMMA:718, ALPHA:469, BETA:48, OMEGA:40","BUY 40 SIGMA @ 97.25，成交额 3,889.94，手续费 3.89",1,LowVolatilityAgent
2023-01-19,ContrarianAgent,58846.6933115,5352.939311500001,-41153.3066885,-0.411533066885,"{""ALPHA"": 23, ""BETA"": 69, ""DELTA"": 34, ""GAMMA"": 300, ""OMEGA"": 496, ""SIGMA"": 130}","OMEGA:496, GAMMA:300, SIGMA:130, BETA:69","SELL 17 SIGMA @ 97.25，成交额 1,653.22，手续费 1.65",4,"DrawdownBuyerAgent, LowVolatilityAgent, MeanReversionAgent, PersuaderAgent"
