date,agent,ticker,side,shares,price,fee,note,notional,cash_after,equity_after
2021-05-21,DynamicTeamAgent,002594,SELL,59,173.2,10.2188,DynamicTeamAgent: own strategy blended with communicated beliefs.,10218.8,11425.454030000006,102930.33403000001
2021-05-21,DynamicTeamAgent,300750,SELL,4,375.57,1.50228,DynamicTeamAgent: own strategy blended with communicated beliefs.,1502.28,12926.231750000006,102928.83175000001
2021-05-21,DynamicTeamAgent,600036,BUY,51,54.11,2.7596100000000003,DynamicTeamAgent: own strategy blended with communicated beliefs.,2759.61,10163.862140000007,102926.07214000002
2021-05-21,DynamicTeamAgent,601318,BUY,32,70.05,2.2416,DynamicTeamAgent: own strategy blended with communicated beliefs.,2241.6,7920.020540000007,102923.83054000002
2021-05-21,DynamicTeamAgent,601899,SELL,799,10.82,8.64518,DynamicTeamAgent: own strategy blended with communicated beliefs.,8645.18,16556.555360000006,102915.18536
2021-05-21,TruthfulReporterAgent,002415,BUY,30,64.0,1.92,TruthfulReporterAgent: own strategy blended with communicated beliefs.,1920.0,3387.1837000000105,101150.5137
2021-05-21,TruthfulReporterAgent,002594,BUY,14,173.2,2.4248,TruthfulReporterAgent: own strategy blended with communicated beliefs.,2424.7999999999997,959.958900000011,101148.08890000002
2021-05-21,TruthfulReporterAgent,600036,SELL,13,54.11,0.70343,TruthfulReporterAgent: own strategy blended with communicated beliefs.,703.43,1662.6854700000108,101147.38547000002
2021-05-21,TruthfulReporterAgent,601899,SELL,1687,10.82,18.25334,TruthfulReporterAgent: own strategy blended with communicated beliefs.,18253.34,19897.772130000012,101129.13213000001
2021-05-21,PersuaderAgent,000333,SELL,91,81.55,7.42105,PersuaderAgent: own strategy blended with communicated beliefs.,7421.05,12773.773639999992,102750.62364
2021-05-21,PersuaderAgent,002415,SELL,18,64.0,1.1520000000000001,PersuaderAgent: own strategy blended with communicated beliefs.,1152.0,13924.621639999992,102749.47164
2021-05-21,PersuaderAgent,002594,SELL,73,173.2,12.6436,PersuaderAgent: own strategy blended with communicated beliefs.,12643.599999999999,26555.57803999999,102736.82804
2021-05-21,PersuaderAgent,300750,SELL,18,375.57,6.760260000000001,PersuaderAgent: own strategy blended with communicated beliefs.,6760.26,33309.077779999985,102730.06777999998
2021-05-21,PersuaderAgent,600036,BUY,154,54.11,8.33294,PersuaderAgent: own strategy blended with communicated beliefs.,8332.94,24967.804839999983,102721.73483999998
2021-05-21,PersuaderAgent,601318,BUY,42,70.05,2.9421,PersuaderAgent: own strategy blended with communicated beliefs.,2942.1,22022.762739999984,102718.79273999998
2021-05-21,PersuaderAgent,601899,BUY,289,10.82,3.12698,PersuaderAgent: own strategy blended with communicated beliefs.,3126.98,18892.655759999983,102715.66575999999
2021-05-21,FreeRiderAgent,002415,SELL,23,64.0,1.472,FreeRiderAgent: own strategy blended with communicated beliefs.,1472.0,31449.29671999999,101075.77672
2021-05-21,FreeRiderAgent,002594,BUY,45,173.2,7.794,FreeRiderAgent: own strategy blended with communicated beliefs.,7793.999999999999,23647.502719999993,101067.98272
2021-05-21,FreeRiderAgent,300750,BUY,3,375.57,1.12671,FreeRiderAgent: own strategy blended with communicated beliefs.,1126.71,22519.666009999994,101066.85600999999
2021-05-21,FreeRiderAgent,601899,SELL,964,10.82,10.43048,FreeRiderAgent: own strategy blended with communicated beliefs.,10430.48,32939.715529999994,101056.42552999998
2021-05-21,ContrarianAgent,000002,BUY,97,26.57,2.57729,ContrarianAgent: own strategy blended with communicated beliefs.,2577.29,4190.7664799999875,103915.41647999999
2021-05-21,ContrarianAgent,000333,BUY,40,81.55,3.262,ContrarianAgent: own strategy blended with communicated beliefs.,3262.0,925.5044799999873,103912.15447999998
2021-05-21,ContrarianAgent,000858,SELL,16,296.6,4.7456000000000005,ContrarianAgent: own strategy blended with communicated beliefs.,4745.6,5666.358879999987,103907.40887999997
2021-05-21,ContrarianAgent,002415,SELL,64,64.0,4.096,ContrarianAgent: own strategy blended with communicated beliefs.,4096.0,9758.262879999987,103903.31287999995
2021-05-21,ContrarianAgent,002594,BUY,25,173.2,4.33,ContrarianAgent: own strategy blended with communicated beliefs.,4330.0,5423.932879999988,103898.98287999998
2021-05-21,ContrarianAgent,300750,SELL,11,375.57,4.13127,ContrarianAgent: own strategy blended with communicated beliefs.,4131.2699999999995,9551.071609999986,103894.85160999997
2021-05-21,ContrarianAgent,600036,BUY,22,54.11,1.19042,ContrarianAgent: own strategy blended with communicated beliefs.,1190.42,8359.461189999987,103893.66118999996
2021-05-21,ContrarianAgent,601318,BUY,32,70.05,2.2416,ContrarianAgent: own strategy blended with communicated beliefs.,2241.6,6115.6195899999875,103891.41958999996
2021-05-21,ContrarianAgent,601899,BUY,81,10.82,0.8764200000000001,ContrarianAgent: own strategy blended with communicated beliefs.,876.4200000000001,5238.323169999987,103890.54316999996
2021-05-21,SocialGraphAgent,000002,BUY,201,26.57,5.34057,社交图谱型：按有向图影响力混合团队与通信信念。,5340.57,626.9562299999961,102689.48623
2021-05-21,SocialGraphAgent,000333,SELL,56,81.55,4.566800000000001,社交图谱型：按有向图影响力混合团队与通信信念。,4566.8,5189.189429999997,102684.91943
2021-05-21,SocialGraphAgent,000858,BUY,17,296.6,5.042200000000001,社交图谱型：按有向图影响力混合团队与通信信念。,5042.200000000001,141.94722999999613,102679.87723000001
2021-05-21,SocialGraphAgent,002594,SELL,29,173.2,5.022799999999999,社交图谱型：按有向图影响力混合团队与通信信念。,5022.799999999999,5159.724429999996,102674.85443
2021-05-21,SocialGraphAgent,300750,SELL,9,375.57,3.3801300000000003,社交图谱型：按有向图影响力混合团队与通信信念。,3380.13,8536.474299999996,102671.4743
2021-05-21,SocialGraphAgent,600036,BUY,41,54.11,2.2185099999999998,社交图谱型：按有向图影响力混合团队与通信信念。,2218.5099999999998,6315.745789999996,102669.25579000001
2021-05-21,SocialGraphAgent,601318,BUY,30,70.05,2.1015,社交图谱型：按有向图影响力混合团队与通信信念。,2101.5,4212.1442899999965,102667.15429
