date,agent,ticker,side,shares,price,fee,note,notional,cash_after,equity_after
2021-05-21,RandomAgent,600036,SELL,80,54.11,4.3288,RandomAgent: own strategy blended with communicated beliefs.,4328.8,19304.854410000018,101876.48441
2021-05-21,RandomAgent,600519,SELL,5,2042.1,10.2105,RandomAgent: own strategy blended with communicated beliefs.,10210.5,29505.143910000017,101866.27391000002
2021-05-21,RandomAgent,601318,BUY,53,70.05,3.7126499999999996,RandomAgent: own strategy blended with communicated beliefs.,3712.6499999999996,25788.781260000018,101862.56126000002
2021-05-21,RandomAgent,601899,BUY,195,10.82,2.1099,RandomAgent: own strategy blended with communicated beliefs.,2109.9,23676.771360000017,101860.45136
2021-05-21,CommitteeTeamAgent,000002,BUY,145,26.57,3.85265,CommitteeTeamAgent: own strategy blended with communicated beliefs.,3852.65,1730.8590300000092,102949.53903000001
2021-05-21,CommitteeTeamAgent,000333,SELL,52,81.55,4.2406,CommitteeTeamAgent: own strategy blended with communicated beliefs.,4240.599999999999,5967.218430000009,102945.29843000001
2021-05-21,CommitteeTeamAgent,000858,BUY,16,296.6,4.7456000000000005,CommitteeTeamAgent: own strategy blended with communicated beliefs.,4745.6,1216.8728300000084,102940.55283000002
2021-05-21,CommitteeTeamAgent,002594,SELL,59,173.2,10.2188,CommitteeTeamAgent: own strategy blended with communicated beliefs.,10218.8,11425.454030000006,102930.33403000001
2021-05-21,CommitteeTeamAgent,300750,SELL,4,375.57,1.50228,CommitteeTeamAgent: own strategy blended with communicated beliefs.,1502.28,12926.231750000006,102928.83175000001
2021-05-21,CommitteeTeamAgent,600036,BUY,51,54.11,2.7596100000000003,CommitteeTeamAgent: own strategy blended with communicated beliefs.,2759.61,10163.862140000007,102926.07214000002
2021-05-21,CommitteeTeamAgent,601318,BUY,32,70.05,2.2416,CommitteeTeamAgent: own strategy blended with communicated beliefs.,2241.6,7920.020540000007,102923.83054000002
2021-05-21,CommitteeTeamAgent,601899,SELL,799,10.82,8.64518,CommitteeTeamAgent: own strategy blended with communicated beliefs.,8645.18,16556.555360000006,102915.18536
2021-05-21,DynamicTeamAgent,000002,BUY,145,26.57,3.85265,DynamicTeamAgent: own strategy blended with communicated beliefs.,3852.65,1730.8590300000092,102949.53903000001
2021-05-21,DynamicTeamAgent,000333,SELL,52,81.55,4.2406,DynamicTeamAgent: own strategy blended with communicated beliefs.,4240.599999999999,5967.218430000009,102945.29843000001
2021-05-21,DynamicTeamAgent,000858,BUY,16,296.6,4.7456000000000005,DynamicTeamAgent: own strategy blended with communicated beliefs.,4745.6,1216.8728300000084,102940.55283000002
