scenario,experiment_type,portfolio,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days,average_agent_correlation,final_weight_hhi,regret_to_best_agent
baseline_isolated,agent_portfolio,equal_agent_portfolio,-0.017674748443051835,-0.08763176588689903,0.10869374324294984,-0.8062264052405156,-0.06352836265146455,49,0.48055269709505044,0.08333333333333334,0.0642241484430518
baseline_isolated,agent_portfolio,hedge_agent_portfolio,-0.0005546720680850159,-0.002849323578685725,0.06477222000016346,-0.04398990151454643,-0.029746241992977374,49,0.48055269709505044,0.10568217233754003,0.04710407206808498
bridge_broker,agent_portfolio,correlation_aware_agent_portfolio,-0.0536245275791748,-0.24682156551667478,0.16173535637442374,-1.5260829236699063,-0.08733206621843115,49,0.564370669369758,0.09234903527711495,0.0688289275791748
bridge_broker,agent_portfolio,drawdown_constrained_agent_portfolio,-0.03366857627702324,-0.16149497513264444,0.14803963051377336,-1.090890152671782,-0.07599578251369432,49,0.564370669369758,0.14303127513723393,0.04887297627702325
bridge_broker,agent_portfolio,equal_agent_portfolio,-0.041915499906517106,-0.19765255676720572,0.17347488597562766,-1.1393727435276995,-0.0887686839749563,49,0.564370669369758,0.08333333333333334,0.05711989990651711
bridge_broker,agent_portfolio,hedge_agent_portfolio,-0.03366857627702324,-0.16149497513264444,0.14803963051377336,-1.090890152671782,-0.07599578251369432,49,0.564370669369758,0.14515617556842086,0.04887297627702325
chain_influence,agent_portfolio,correlation_aware_agent_portfolio,-0.04420728557410181,-0.20747422523610948,0.20318001368390703,-1.0211350096613492,-0.12493307326260361,49,0.4725254495935985,0.09766337529198799,0.08853498557410178
chain_influence,agent_portfolio,drawdown_constrained_agent_portfolio,-0.023082895621994948,-0.11317144287272118,0.11766510950561265,-0.9618096931896611,-0.07080786957996965,49,0.4725254495935985,0.14795467514313676,0.06741059562199492
chain_influence,agent_portfolio,equal_agent_portfolio,-0.04641320229859991,-0.21683619130244158,0.18050288303854997,-1.2012893514622252,-0.11510676926080987,49,0.4725254495935985,0.08333333333333334,0.09074090229859988
chain_influence,agent_portfolio,hedge_agent_portfolio,-0.023082895621994948,-0.11317144287272118,0.11766510950561265,-0.9618096931896611,-0.07080786957996965,49,0.4725254495935985,0.1480810089064951,0.06741059562199492
core_periphery,agent_portfolio,correlation_aware_agent_portfolio,-0.043688878659953634,-0.20526106497777152,0.10955565879477996,-1.8735779350500483,-0.0762817985187324,49,0.45815589602782614,0.0926223077074877,0.08493437865995368
core_periphery,agent_portfolio,drawdown_constrained_agent_portfolio,-0.007654930269169746,-0.038748950814425864,0.0619952430461637,-0.6250310331967264,-0.03255253777427092,49,0.45815589602782614,0.10584416389369025,0.04890043026916979
core_periphery,agent_portfolio,equal_agent_portfolio,-0.02568526752385991,-0.1252540156723383,0.11036495404964469,-1.1349075143545673,-0.06808755478144335,49,0.45815589602782614,0.08333333333333334,0.06693076752385996
core_periphery,agent_portfolio,hedge_agent_portfolio,-0.007654930269169746,-0.038748950814425864,0.0619952430461637,-0.6250310331967264,-0.03255253777427092,49,0.45815589602782614,0.10584416389369025,0.04890043026916979
dense_market,agent_portfolio,correlation_aware_agent_portfolio,-0.015801299173394123,-0.0786476161363342,0.1752451003248433,-0.4487863911204875,-0.08931268054175334,49,0.5714576881133937,0.08963563913280727,0.0869625991733941
dense_market,agent_portfolio,drawdown_constrained_agent_portfolio,0.0005816450876823254,0.0029949238384601173,0.148960190270225,0.020105531773469812,-0.07440812178695122,49,0.5714576881133937,0.13619116574554105,0.07057965491231766
dense_market,agent_portfolio,equal_agent_portfolio,-0.0014921831965887256,-0.00765040184175525,0.1628339069780943,-0.04698285500687791,-0.08015864032154363,49,0.5714576881133937,0.08333333333333334,0.07265348319658871
dense_market,agent_portfolio,hedge_agent_portfolio,0.0008117202565367521,0.004181586483976485,0.14876489591903375,0.028108690952550662,-0.07440812178695122,49,0.5714576881133937,0.15505130386817348,0.07034957974346323
echo_chambers,agent_portfolio,correlation_aware_agent_portfolio,-0.04952057857897307,-0.22987264060361323,0.08920238559518975,-2.57697862080506,-0.05840258916955443,49,0.4983975591853852,0.0892552504550016,0.055330178578973155
echo_chambers,agent_portfolio,drawdown_constrained_agent_portfolio,-0.014291658502102345,-0.07135638373160458,0.055905276298367536,-1.276380128250761,-0.02633249374318769,49,0.4983975591853852,0.11179089799125538,0.020101258502102426
echo_chambers,agent_portfolio,equal_agent_portfolio,-0.030016034756856103,-0.1450671647484536,0.09254629069784978,-1.567509228674295,-0.05600667338919929,49,0.4983975591853852,0.08333333333333334,0.035825634756856184
echo_chambers,agent_portfolio,hedge_agent_portfolio,-0.014291658502102345,-0.07135638373160458,0.055905276298367536,-1.276380128250761,-0.02633249374318769,49,0.4983975591853852,0.1117908979912554,0.020101258502102426
mentor_pairs,agent_portfolio,correlation_aware_agent_portfolio,-1.650071532266484e-05,-8.485792116219582e-05,0.006008387458182383,-0.014123243840846853,-0.0033283889772158792,49,0.4619126226999453,0.08406701786798362,0.003918700715322632
mentor_pairs,agent_portfolio,drawdown_constrained_agent_portfolio,-2.5380922001883022e-05,-0.00013052359358389776,0.006082988493745226,-0.02145714951098582,-0.0034056680480307744,49,0.4619126226999453,0.0836014515663593,0.00392758092200185
mentor_pairs,agent_portfolio,equal_agent_portfolio,-6.394281506127975e-05,-0.0003288052090932858,0.006183965366341966,-0.0531706097325357,-0.0034707612426272405,49,0.4619126226999453,0.08333333333333334,0.0039661428150612466
mentor_pairs,agent_portfolio,hedge_agent_portfolio,-2.5380922001883022e-05,-0.00013052359358389776,0.006082988493745226,-0.02145714951098582,-0.0034056680480307744,49,0.4619126226999453,0.0836014515663593,0.00392758092200185
star_social_hub,agent_portfolio,correlation_aware_agent_portfolio,-0.028772976596469046,-0.13941758372570556,0.10973838905861089,-1.2704540764785888,-0.06625823936287922,49,0.6038068274582576,0.09476328305043322,0.09741797659646911
star_social_hub,agent_portfolio,drawdown_constrained_agent_portfolio,-0.01782753661956904,-0.08836133952618774,0.08115382548702242,-1.0888129918203042,-0.046647133845382105,49,0.6038068274582576,0.12735797743085672,0.08647253661956911
star_social_hub,agent_portfolio,equal_agent_portfolio,-0.030435102572166528,-0.14696503950478523,0.11861480760766852,-1.2390108998101503,-0.0702530304121598,49,0.6038068274582576,0.08333333333333334,0.0990801025721666
star_social_hub,agent_portfolio,hedge_agent_portfolio,-0.01782753661956904,-0.08836133952618774,0.08115382548702242,-1.0888129918203042,-0.046647133845382105,49,0.6038068274582576,0.12735797743085672,0.08647253661956911
strategy_silos,agent_portfolio,correlation_aware_agent_portfolio,-0.04804752972100845,-0.22371469734183558,0.08358292095363265,-2.6765599334096084,-0.0580512778944926,49,0.4612573289706751,0.09178104377692758,0.057296129721008504
strategy_silos,agent_portfolio,drawdown_constrained_agent_portfolio,-0.02466258595423032,-0.12052172014585794,0.056658822407868153,-2.1271483420227457,-0.03243284088250342,49,0.4612573289706751,0.12067558182535205,0.03391118595423037
strategy_silos,agent_portfolio,equal_agent_portfolio,-0.045454677605090366,-0.21277919674060342,0.10210579981200199,-2.0839090152799757,-0.06492694410467437,49,0.4612573289706751,0.08333333333333334,0.05470327760509042
strategy_silos,agent_portfolio,hedge_agent_portfolio,-0.02466258595423032,-0.12052172014585794,0.056658822407868153,-2.1271483420227457,-0.03243284088250342,49,0.4612573289706751,0.12067558182535205,0.03391118595423037
truthful_anchor,agent_portfolio,correlation_aware_agent_portfolio,-0.03390571474047832,-0.1625526818562124,0.08700437159772151,-1.8683277503319085,-0.05579272872078922,49,0.45426072154516417,0.09861412859262086,0.11245201474047828
truthful_anchor,agent_portfolio,drawdown_constrained_agent_portfolio,-0.014878759498346494,-0.07419745486881879,0.0621469381159046,-1.1939036277288493,-0.034474798038967025,49,0.45426072154516417,0.10467566824751581,0.09342505949834645
truthful_anchor,agent_portfolio,equal_agent_portfolio,-0.03243321441920877,-0.15596748089892165,0.10233596123924797,-1.524073053208444,-0.06515240990470239,49,0.45426072154516417,0.08333333333333334,0.11097951441920872
truthful_anchor,agent_portfolio,hedge_agent_portfolio,-0.014878759498346494,-0.07419745486881879,0.0621469381159046,-1.1939036277288493,-0.034474798038967025,49,0.45426072154516417,0.10467566824751583,0.09342505949834645
