date,agent,ticker,belief,source
2023-06-12,TruthfulReporterAgent,TSLA,0.17505446275730224,reputation_weighted
2023-06-12,TruthfulReporterAgent,AAPL,-0.1742359644647946,own
2023-06-12,TruthfulReporterAgent,AMZN,0.8257640355352054,own
2023-06-12,TruthfulReporterAgent,GOOGL,-0.1742359644647946,own
2023-06-12,TruthfulReporterAgent,MSFT,-0.1742359644647946,own
2023-06-12,TruthfulReporterAgent,NVDA,-0.1742359644647946,own
2023-06-12,TruthfulReporterAgent,TSLA,-0.12882017767602685,own
2023-06-12,TruthfulReporterAgent,NVDA,-0.1742359644647946,snapshot
2023-06-12,TruthfulReporterAgent,AAPL,-0.1742359644647946,snapshot
2023-06-12,TruthfulReporterAgent,GOOGL,-0.1742359644647946,snapshot
2023-06-12,TruthfulReporterAgent,AMZN,0.8257640355352054,snapshot
2023-06-12,TruthfulReporterAgent,MSFT,-0.1742359644647946,snapshot
2023-06-12,TruthfulReporterAgent,TSLA,-0.12882017767602685,snapshot
2023-06-19,TruthfulReporterAgent,AAPL,0.008557700777090033,reputation_weighted
2023-06-19,TruthfulReporterAgent,AMZN,0.45510576333148667,reputation_weighted
2023-06-19,TruthfulReporterAgent,NVDA,-0.06969438578591784,reputation_weighted
2023-06-19,TruthfulReporterAgent,MSFT,0.2992889068182438,reputation_weighted
2023-06-19,TruthfulReporterAgent,TSLA,0.12133618328933213,reputation_weighted
2023-06-19,TruthfulReporterAgent,AAPL,-0.3333333333333333,own
2023-06-19,TruthfulReporterAgent,AMZN,0.6666666666666667,own
2023-06-19,TruthfulReporterAgent,GOOGL,-0.3333333333333333,own
2023-06-19,TruthfulReporterAgent,MSFT,-0.3333333333333333,own
2023-06-19,TruthfulReporterAgent,NVDA,0.6666666666666667,own
2023-06-19,TruthfulReporterAgent,TSLA,-0.3333333333333333,own
2023-06-19,TruthfulReporterAgent,NVDA,0.6666666666666667,snapshot
2023-06-19,TruthfulReporterAgent,AAPL,-0.3333333333333333,snapshot
2023-06-19,TruthfulReporterAgent,GOOGL,-0.3333333333333333,snapshot
2023-06-19,TruthfulReporterAgent,AMZN,0.6666666666666667,snapshot
2023-06-19,TruthfulReporterAgent,MSFT,-0.3333333333333333,snapshot
2023-06-19,TruthfulReporterAgent,TSLA,-0.3333333333333333,snapshot
2023-06-26,TruthfulReporterAgent,NVDA,0.2666666666666667,reputation_weighted
2023-06-26,TruthfulReporterAgent,AAPL,-0.06125589531777477,reputation_weighted
2023-06-26,TruthfulReporterAgent,AMZN,0.3964186963837346,reputation_weighted
2023-06-26,TruthfulReporterAgent,MSFT,0.1038200998617052,reputation_weighted
2023-06-26,TruthfulReporterAgent,TSLA,-0.13333333333333333,reputation_weighted
2023-06-26,TruthfulReporterAgent,GOOGL,0.26616193656944076,reputation_weighted
2023-06-26,TruthfulReporterAgent,AAPL,-0.3333333333333333,own
2023-06-26,TruthfulReporterAgent,AMZN,0.6666666666666667,own
2023-06-26,TruthfulReporterAgent,GOOGL,-0.3333333333333333,own
2023-06-26,TruthfulReporterAgent,MSFT,-0.3333333333333333,own
2023-06-26,TruthfulReporterAgent,NVDA,0.6666666666666667,own
2023-06-26,TruthfulReporterAgent,TSLA,-0.3333333333333333,own
2023-06-26,TruthfulReporterAgent,NVDA,0.6666666666666667,snapshot
2023-06-26,TruthfulReporterAgent,AAPL,-0.3333333333333333,snapshot
2023-06-26,TruthfulReporterAgent,GOOGL,-0.3333333333333333,snapshot
2023-06-26,TruthfulReporterAgent,AMZN,0.6666666666666667,snapshot
2023-06-26,TruthfulReporterAgent,MSFT,-0.3333333333333333,snapshot
2023-06-26,TruthfulReporterAgent,TSLA,-0.3333333333333333,snapshot
2023-07-03,TruthfulReporterAgent,AAPL,-0.13333333333333333,reputation_weighted
2023-07-03,TruthfulReporterAgent,AMZN,0.37404260214802787,reputation_weighted
2023-07-03,TruthfulReporterAgent,MSFT,0.014306160859296035,reputation_weighted
2023-07-03,TruthfulReporterAgent,GOOGL,0.20714432661161827,reputation_weighted
2023-07-03,TruthfulReporterAgent,TSLA,-0.13333333333333333,reputation_weighted
2023-07-03,TruthfulReporterAgent,AAPL,-0.4802189304386466,own
2023-07-03,TruthfulReporterAgent,AMZN,0.4592879090581001,own
2023-07-03,TruthfulReporterAgent,GOOGL,-0.4802189304386466,own
2023-07-03,TruthfulReporterAgent,MSFT,-0.4802189304386466,own
2023-07-03,TruthfulReporterAgent,NVDA,0.5197810695613534,own
2023-07-03,TruthfulReporterAgent,TSLA,0.46158781269648647,own
2023-07-03,TruthfulReporterAgent,NVDA,0.5197810695613534,snapshot
2023-07-03,TruthfulReporterAgent,AAPL,-0.4802189304386466,snapshot
2023-07-03,TruthfulReporterAgent,GOOGL,-0.4802189304386466,snapshot
2023-07-03,TruthfulReporterAgent,AMZN,0.4592879090581001,snapshot
2023-07-03,TruthfulReporterAgent,MSFT,-0.4802189304386466,snapshot
2023-07-03,TruthfulReporterAgent,TSLA,0.46158781269648647,snapshot
2023-07-10,TruthfulReporterAgent,AAPL,-0.19208757217545866,reputation_weighted
2023-07-10,TruthfulReporterAgent,AMZN,0.2925964794777981,reputation_weighted
2023-07-10,TruthfulReporterAgent,MSFT,-0.12268929446658611,reputation_weighted
2023-07-10,TruthfulReporterAgent,GOOGL,0.0214460246764773,reputation_weighted
