date,agent,equity,cash
2021-01-12,TruthfulReporterAgent,100000.0,100000.0
2021-01-13,CommitteeTeamAgent,100950.76,97296.25
2021-01-13,ContrarianAgent,100602.0,56777.0
2021-01-13,DrawdownBuyerAgent,99542.33,59363.67
2021-01-13,DynamicTeamAgent,100141.67,100081.76
2021-01-13,FreeRiderAgent,100258.0,92043.09
2021-01-13,LowVolatilityAgent,100104.55,97910.65
2021-01-13,MeanReversionAgent,99033.0,29694.67
2021-01-13,MomentumAgent,98456.0,92225.7
2021-01-13,PersuaderAgent,100754.15,69263.95
2021-01-13,RandomAgent,100026.3,89681.62
2021-01-13,SocialGraphAgent,100305.31,90845.71
2021-01-13,TruthfulReporterAgent,99998.66,99938.75
2021-01-14,CommitteeTeamAgent,100787.89,97353.49
2021-01-14,ContrarianAgent,98952.01,61682.0
2021-01-14,DrawdownBuyerAgent,97886.47,59074.27
2021-01-14,DynamicTeamAgent,100139.0,100139.0
2021-01-14,FreeRiderAgent,99958.33,94905.09
2021-01-14,LowVolatilityAgent,100074.64,97910.65
2021-01-14,MeanReversionAgent,95825.07,29405.27
2021-01-14,MomentumAgent,98173.65,97949.7
2021-01-14,PersuaderAgent,99099.75,98203.95
2021-01-14,RandomAgent,99652.05,89392.22
2021-01-14,SocialGraphAgent,100016.61,91293.61
2021-01-14,TruthfulReporterAgent,99995.99,99995.99
2021-01-15,CommitteeTeamAgent,100887.49,97942.49
2021-01-15,ContrarianAgent,100117.55,61623.1
2021-01-15,DrawdownBuyerAgent,99048.37,58786.57
2021-01-15,DynamicTeamAgent,100139.0,100087.86
2021-01-15,FreeRiderAgent,99990.99,94905.09
2021-01-15,LowVolatilityAgent,100022.6,97910.65
2021-01-15,MeanReversionAgent,96805.67,29405.27
2021-01-15,MomentumAgent,98174.9,97898.56
2021-01-15,PersuaderAgent,99104.75,98429.15
2021-01-15,RandomAgent,99659.48,89381.66
2021-01-15,SocialGraphAgent,100178.61,97183.61
2021-01-15,TruthfulReporterAgent,99995.99,99944.85
2021-01-18,CommitteeTeamAgent,100931.49,97942.49
2021-01-18,ContrarianAgent,100456.78,61338.55
2021-01-18,DrawdownBuyerAgent,99383.77,58502.02
2021-01-18,DynamicTeamAgent,100139.78,100087.86
2021-01-18,FreeRiderAgent,100017.65,94853.95
2021-01-18,LowVolatilityAgent,100004.91,97910.65
2021-01-18,MeanReversionAgent,96819.37,29183.58
2021-01-18,MomentumAgent,98172.17,98120.25
2021-01-18,PersuaderAgent,99094.22,98650.84
2021-01-18,RandomAgent,99599.59,89370.97
2021-01-18,SocialGraphAgent,100309.61,97131.69
2021-01-18,TruthfulReporterAgent,99996.77,99944.85
2021-01-19,CommitteeTeamAgent,100971.99,97942.49
2021-01-19,ContrarianAgent,98657.75,61338.55
2021-01-19,DrawdownBuyerAgent,97548.52,58407.17
2021-01-19,DynamicTeamAgent,100139.71,100087.86
2021-01-19,FreeRiderAgent,100005.3,94802.1
2021-01-19,LowVolatilityAgent,99951.34,99920.06
2021-01-19,MeanReversionAgent,94723.78,28902.08
2021-01-19,MomentumAgent,98172.1,98068.4
2021-01-19,PersuaderAgent,99083.24,98867.04
2021-01-19,RandomAgent,99168.31,89360.69
2021-01-19,SocialGraphAgent,100311.54,97131.69
2021-01-19,TruthfulReporterAgent,99996.7,99944.85
2021-01-20,CommitteeTeamAgent,100962.49,97942.49
2021-01-20,ContrarianAgent,101215.2,61729.95
2021-01-20,DrawdownBuyerAgent,100123.7,58185.17
2021-01-20,DynamicTeamAgent,100139.58,100139.58
2021-01-20,FreeRiderAgent,100026.57,94802.1
2021-01-20,LowVolatilityAgent,99950.56,99920.06
2021-01-20,MeanReversionAgent,97603.63,28805.8
2021-01-20,MomentumAgent,98171.84,98016.68
2021-01-20,PersuaderAgent,99089.04,98815.32
2021-01-20,RandomAgent,99315.78,89350.13
2021-01-20,SocialGraphAgent,100233.41,97131.69
2021-01-20,TruthfulReporterAgent,99996.57,99944.85
2021-01-21,CommitteeTeamAgent,101102.49,101102.49
2021-01-21,ContrarianAgent,101220.1,59659.95
2021-01-21,DrawdownBuyerAgent,100232.54,56115.17
2021-01-21,DynamicTeamAgent,100139.58,100076.38
2021-01-21,FreeRiderAgent,100200.58,94802.1
2021-01-21,LowVolatilityAgent,99950.16,99819.96
2021-01-21,MeanReversionAgent,98857.27,29102.75
2021-01-21,MomentumAgent,98174.6,97953.48
2021-01-21,PersuaderAgent,99103.48,98867.96
2021-01-21,RandomAgent,99711.93,87280.13
2021-01-21,SocialGraphAgent,100194.33,97184.33
2021-01-21,TruthfulReporterAgent,99997.49,99997.49
2021-01-22,CommitteeTeamAgent,101102.49,99022.54
2021-01-22,ContrarianAgent,102902.2,59726.69
2021-01-22,DrawdownBuyerAgent,101899.41,47735.17
2021-01-22,DynamicTeamAgent,100143.12,100143.12
2021-01-22,FreeRiderAgent,100389.07,94905.38
2021-01-22,LowVolatilityAgent,99949.79,99819.96
2021-01-22,MeanReversionAgent,100393.36,49502.75
2021-01-22,MomentumAgent,98175.14,98108.4
2021-01-22,PersuaderAgent,99110.88,96788.01
2021-01-22,RandomAgent,99766.79,84354.13
2021-01-22,SocialGraphAgent,100110.33,95104.38
2021-01-22,TruthfulReporterAgent,100001.03,99934.29
2021-01-25,CommitteeTeamAgent,101197.54,98993.18
2021-01-25,ContrarianAgent,101912.38,61901.69
2021-01-25,DrawdownBuyerAgent,101138.6,44799.17
2021-01-25,DynamicTeamAgent,100143.12,97968.12
2021-01-25,FreeRiderAgent,100507.78,96573.88
2021-01-25,LowVolatilityAgent,99952.38,99736.16
2021-01-25,MeanReversionAgent,101912.61,65287.25
2021-01-25,MomentumAgent,98176.05,98176.05
2021-01-25,PersuaderAgent,99223.01,97048.01
2021-01-25,RandomAgent,100034.07,75866.13
2021-01-25,SocialGraphAgent,100215.38,98040.38
2021-01-25,TruthfulReporterAgent,100001.94,100001.94
2021-01-26,CommitteeTeamAgent,101164.77,101135.07
2021-01-26,ContrarianAgent,100757.47,61901.69
2021-01-26,DrawdownBuyerAgent,99716.12,36499.17
2021-01-26,DynamicTeamAgent,100110.01,97968.12
2021-01-26,FreeRiderAgent,100408.37,96490.88
2021-01-26,LowVolatilityAgent,99946.8,99765.86
2021-01-26,MeanReversionAgent,100814.97,65541.47
